species_name,classification
Astragalus_glycyphyllos,Common
Astragalus_hamosus,Common
Astragalus_incanus,Common
Astragalus_monspessulanus,Common
Astragalus_onobrychis,Common
Astragalus_sesameus,Common
Astragalus_umbellatus,Common
Astrantia_major,Adaptable Survivor
Astrebla_lappacea,Common
Astroloma_humifusum,Common
Astroloma_xerophyllum,Competitively Rare
Astronium_fraxinifolium,Competitively Rare
Astronium_graveolens,Competitively Rare
Astrotricha_floccosa,Relict
Ateleia_herbert-smithii,Relict
Atherosperma_moschatum,Relict
Atractylis_cancellata,Common
Atractylis_humilis,Common
Atraphaxis_frutescens,Competitively Rare
Atriplex_acutibractea,Adaptable Survivor
Atriplex_angulata,Adaptable Survivor
Atriplex_canescens,Potentially Invasive
Atriplex_eardleyae,Adaptable Survivor
Atriplex_halimus,Common
Atriplex_holocarpa,Adaptable Survivor
Atriplex_leptocarpa,Adaptable Survivor
Atriplex_littoralis,Common
Atriplex_patula,Common
Atriplex_prostrata,Common
Atriplex_pseudocampanulata,Adaptable Survivor
Atriplex_sagittata,Common
Atriplex_stipitata,Adaptable Survivor
Atriplex_vesicaria,Adaptable Survivor
Aurinia_saxatilis,Common
Austrocedrus_chilensis,Relict
Austrostipa_nitida,Common
Austrostipa_scabra,Common
Austrostipa_variabilis,Competitively Rare
Avena_fatua,Common
Avena_sativa,Potentially Invasive
Avena_sterilis,Common
Avena_strigosa,Common
Axyris_amaranthoides,Common
Azadirachta_indica,Adaptable Survivor
Azima_tetracantha,Relict
Baccaurea_parviflora,Relict
Backhousia_myrtifolia,Adaptable Survivor
Bactris_simplicifrons,Relict
Baeckea_brevifolia,Competitively Rare
Baeckea_diosmifolia,Competitively Rare
Baeckea_gunniana,Competitively Rare
Baeckea_imbricata,Competitively Rare
Banksia_aemula,Common
Banksia_attenuata,Common
Banksia_cirsioides,Competitively Rare
Banksia_ericifolia,Competitively Rare
Banksia_integrifolia,Common
Banksia_littoralis,Competitively Rare
Banksia_marginata,Common
Banksia_menziesii,Competitively Rare
Banksia_oblongifolia,Common
Banksia_serrata,Common
Banksia_sessilis,Common
Banksia_spinulosa,Common
Banksia_vestita,Competitively Rare
Baptisia_australis,Common
Baptisia_bracteata,Common
Bartsia_alpina,Common
Bassia_prostrata,Common
Bathysa_australis,Relict
Bebbia_juncea,Common
Bedfordia_salicina,Competitively Rare
Bellis_perennis,Common
Bellucia_grossularioides,Competitively Rare
Bellucia_pentamera,Competitively Rare
Berberis_cretica,Endemic
Berberis_julianae,Common
Berberis_microphylla,Common
Berberis_vulgaris,Common
Berchemia_discolor,Competitively Rare
Berchemia_scandens,Common
Bertya_cunninghamii,Competitively Rare
Beta_vulgaris,Adaptable Survivor
Betula_ermanii,Adaptable Survivor
Betula_glandulosa,Adaptable Survivor
Betula_grossa,Adaptable Survivor
Betula_humilis,Relict
Betula_maximowicziana,Relict
Betula_pubescens,Keystone
Betula_utilis,Relict
Beyeria_opaca,Common
Beyeria_viscosa,Common
Bischofia_javanica,Relict
Biscutella_laevigata,Common
Biscutella_valentina,Competitively Rare
Bituminaria_bituminosa,Common
Bixa_orellana,Adaptable Survivor
Blackstonia_acuminata,Common
Blackstonia_perfoliata,Common
Blepharocalyx_salicifolius,Adaptable Survivor
Blysmus_compressus,Common
Boerhavia_dominii,Adaptable Survivor
Bolboschoenus_fluviatilis,Potentially Invasive
Bolboschoenus_maritimus,Common
